country,director,genre,imdb_rating,title,year
Россия,Александр Андреев,трагикомедия,4.7,5 недель,2021
"США
Грузия",Ренни Харлин,"военный
боевик",5.6,5 дней в августе,2011
СССР,Радомир Василевский,комедия,6.9,4:0 в пользу Танечки,1982
США,Абель Феррара,"драма
фантастика",4.6,4:44. Последний день на Земле,2011
"Финляндия
Норвегия
Швеция
Дания",,"драма
комедия",6.8,4 x 4,1965
Румыния,Кристиан Мунджиу,"психологическая
драма",7.9,"4 месяца, 3 недели и 2 дня",2007
США,Спайк Ли,Исторический документальный,7.8,4 маленькие девочки,1997
США,Рассел Малкэхи,"биографическая
спортивная
драма",6.7,3: История Дейла Эрнхардта,
Великобритания,Ноэль Кларк,триллер,5.8,4.3.2.1,2010
"Россия
Нидерланды",Илья Хржановский,драма,6.5,Четыре,2004
Великобритания,Питер Гринуэй,"документальный
музыкальный",7.4,4 американских композитора,1983
"Германия
Украина
Россия",Ахим фон Боррис,"военная
драма
боевик",6.4,4 дня в мае,2011
Индия,Раджкумар Хирани,"комедия
драма",8.4,3 идиота,2009
Украина,"Иван Гаврилюк
Сайдо Курбанов",детектив,5.1,4 листа фанеры,1992
"Франция
Великобритания",Хьюго Желен,"драма
семейный",7.3,2+1,2016
"США
Австралия",Пол Карри,триллер,5.7,2:22,2017
Франция,Жан-Луи Гийерму,комедия,3.8,2 дурня в снегу,1977
Россия,Сергей Соловьёв,драма,4.7,2-Асса-2,2008
Канада,Манон Брайан,комедия,6.6,2 секунды,1998
СССР,Борис Эпштейн,игровое кино,,Чудотворец из Бирюлёва,1958
США,Гэбриэль Коуэн,драма,4.6,3 ночи в пустыне,2014
Австралия,Мулари К. Теллури,драматический фильм,6.8,2:37,2006
США,Бенни Бум,"байопик
драма
боевик",5.9,2pac: Легенда,2017
Бразилия,Марко Фиорито,"порнофильм
иЛГБТ-фильм",4.2,2 Girls 1 Cup,5 января   2007
США,Нил Бёргер,комедийная драма,7.0,1+1: Голливудская история,2017  (Международный кинофестиваль в Торонто 2017 (TIFF)) 2019  (международная премьера)
СССР,Амасий Мартиросян,комедия,7.7,01-99,1959
"Франция
Германия",Жюли Дельпи,"комедия
драма
мелодрама",6.7,2 дня в Париже,2007
Австралия,Стив МакКаллум,криминальный,5.3,1%,2017
США,Лейф Тильден,"драма
мелодрама",6.3,1 миля до тебя,2017
США,Пол Краудер,документальный,7.9,1,2013
Индия,Сенна Хегде,"документальный
драма
комедия",8.9,0-41*,2016
Франция,"Оливье Накаш
Эрик Толедано",комедийная драмабадди-муви,8.5,1+1,2011
США,"Энтони Хайнс
Каспер Кристенсен","комедия
фантастика
мелодрамма",5.5,(Не)идеальные роботы,2023
Чехословакия,Яромил Йиреш,"драма
военный",6.8,…и передайте привет ласточкам,1972
США,"Шон Уолтман
Чайна",порнофильм,2.6,1 Night in China,2004
СССР,"Аркадий Кольцатый
Валентин Перов","драма
приключения",4.9,«SOS» над тайгой,1976
Чехословакия,Збынек Брыных,"драма
военныйарт-хаус",7.2,...а пятый всадник – Страх,1965
